track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre_category,pos,neg,neu,compound
Like Crazy,Jimin,0.6931471805599453,6.391917113392602,4.23410650459726,19.710931438582328,2.1972245773362196,4.653960350157523,3.1780538303479458,1.0986122886681098,3.4011973816621555,120,Major,63,36,73,0.0,0,3.6109179126442243,1.6094379124341003,pop,0.195,0.075,0.73,0.9694
I Can See You (Taylor's Version)(From The Vault),Taylor Swift,0.6931471805599453,6.248042874508429,3.6635616461296463,17.769351842256572,4.30406509320417,4.787491742782046,3.7612001156935624,0.6931471805599453,5.017279836814924,123,Major,69,82,76,1.9459101490553132,0,1.9459101490553132,1.3862943611198906,other,0.094,0.019,0.887,0.9153
I Wanna Be Yours,Arctic Monkeys,0.6931471805599453,9.46187699779161,4.709530201312334,20.983339963356148,3.2188758248682006,4.59511985013459,6.368187186350492,1.0986122886681098,4.30406509320417,135,Minor,48,44,42,2.5649493574615367,4,2.4849066497880004,1.3862943611198906,other,0.023,0.052,0.925,-0.4973
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1.3862943611198906,7.57353126274595,4.477336814478207,18.563607776488762,4.31748811353631,5.209486152841421,4.477336814478207,2.70805020110221,6.9975959829819265,99,Major,85,83,68,2.0794415416798357,0,3.6109179126442243,3.044522437723423,other,0.051,0.069,0.88,-0.9961
Calm Down (with Selena Gomez),"Rema, Selena Gomez",1.0986122886681098,8.869679374733515,4.356708826689592,20.6169975593974,5.313205979041787,4.787491742782046,5.765191102784844,3.6635616461296463,4.574710978503383,107,Major,80,82,80,3.784189633918261,0,2.70805020110221,1.6094379124341003,afrobeats,0.137,0.103,0.76,0.9022
Last Night,Morgan Wallen,0.6931471805599453,7.791935956938058,2.995732273553991,19.878899904587904,3.970291913552122,4.68213122712422,2.772588722239781,0.6931471805599453,5.786897381366708,204,Major,52,52,68,3.8501476017100584,0,2.772588722239781,1.6094379124341003,other,0.149,0.071,0.78,0.9517
Dance The Night (From Barbie The Album),Dua Lipa,0.6931471805599453,8.002694162283937,4.624972813284271,18.662912589055942,0.0,0.0,4.969813299576001,3.6635616461296463,0.0,110,Minor,67,78,85,1.0986122886681098,0,3.5263605246161616,1.791759469228055,pop,0.112,0.068,0.82,0.9712
Rush,Troye Sivan,0.6931471805599453,6.762729506931879,4.3694478524670215,16.93262657683202,4.276666119016055,4.912654885736052,3.9318256327243257,0.6931471805599453,5.68697535633982,126,Minor,74,35,84,0.0,0,2.4849066497880004,1.9459101490553132,other,0.306,0.176,0.519,0.9895
Creepin',"The Weeknd, 21 Savage, Metro Boomin",1.3862943611198906,8.705662478796427,4.48863636973214,20.55361270887595,4.736198448394496,5.0106352940962555,5.5053315359323625,3.1780538303479458,3.332204510175204,98,Minor,71,17,61,3.6109179126442243,0,2.1972245773362196,1.791759469228055,other,0.151,0.048,0.802,0.9694
Anti-Hero,Taylor Swift,0.6931471805599453,9.114159813502214,4.04305126783455,20.723014083259113,5.493061443340548,4.962844630259907,5.111987788356544,2.302585092994046,5.739792912179234,97,Major,64,51,63,2.5649493574615367,0,2.995732273553991,1.791759469228055,other,0.161,0.209,0.631,-0.8897
Frágil,"Yahritza Y Su Esencia, Grupo Frontera",1.0986122886681098,6.511745329644728,3.5553480614894135,19.05690567513628,2.995732273553991,4.6913478822291435,3.2188758248682006,2.302585092994046,5.3612921657094255,150,Major,61,39,73,3.6375861597263857,0,2.4849066497880004,1.3862943611198906,other,0.084,0.122,0.793,-0.4404
Blank Space,Taylor Swift,0.6931471805599453,9.344434106456882,3.9889840465642745,21.027774846068187,5.043425116919247,4.820281565605037,6.018593214496234,1.0986122886681098,4.406719247264253,96,Major,75,57,68,2.302585092994046,0,2.6390573296152584,1.9459101490553132,other,0.258,0.132,0.609,0.9923
Style,Taylor Swift,0.6931471805599453,8.965845494750937,3.7612001156935624,20.48269866842112,4.553876891600541,4.718498871295094,5.0238805208462765,1.6094379124341003,4.418840607796598,95,Major,60,48,79,0.0,0,2.5649493574615367,1.6094379124341003,other,0.126,0.073,0.801,0.891
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1.0986122886681098,10.089759629074432,4.3694478524670215,21.75577270677811,5.921578419643816,4.770684624465665,6.738152494595957,1.6094379124341003,4.248495242049359,90,Major,76,91,50,4.007333185232471,0,2.0794415416798357,1.791759469228055,other,0.127,0.0,0.873,0.9217
I'm Good (Blue),"Bebe Rexha, David Guetta",1.0986122886681098,9.432122997651051,4.394449154672439,20.82711506418297,5.676753802268282,5.220355825078324,6.2878585601617845,3.828641396489095,6.590301048196686,128,Minor,56,38,97,1.6094379124341003,0,3.58351893845611,1.6094379124341003,dance,0.552,0.029,0.419,0.9985
See You Again,"Tyler, The Creator, Kali Uchis",1.3862943611198906,9.502114062331216,4.174387269895637,20.76929150914099,4.356708826689592,4.07753744390572,5.5134287461649825,0.6931471805599453,5.7430031878094825,79,Major,56,58,56,3.6375861597263857,0,2.4849066497880004,2.3978952727983707,other,0.315,0.178,0.507,0.9661
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",1.3862943611198906,7.0192966537150445,4.394449154672439,17.992298022011063,4.418840607796598,4.983606621708336,4.189654742026425,2.833213344056216,7.033506484287697,144,Major,77,75,58,3.970291913552122,0,3.1780538303479458,3.258096538021482,other,0.166,0.195,0.638,-0.9623
Angels Like You,Miley Cyrus,0.6931471805599453,8.12355783506165,2.995732273553991,20.16205011605056,4.189654742026425,3.8918202981106265,4.9344739331306915,0.6931471805599453,4.634728988229636,122,Major,67,49,64,2.3978952727983707,0,2.3978952727983707,1.3862943611198906,other,0.193,0.2,0.607,-0.3612
I Ain't Worried,OneRepublic,0.6931471805599453,9.039789270781144,4.343805421853684,20.80547734890892,5.488937726156687,4.852030263919617,6.129050210060545,3.6375861597263857,5.808142489980444,140,Major,71,82,81,2.4849066497880004,0,1.9459101490553132,1.791759469228055,other,0.211,0.141,0.649,0.8779
Die For You,The Weeknd,0.6931471805599453,7.81762544305337,4.0943445622221,21.222822444387607,4.23410650459726,3.091042453358316,3.2188758248682006,0.0,5.560681631015528,134,Minor,59,51,52,2.302585092994046,0,2.772588722239781,2.0794415416798357,other,0.186,0.306,0.508,-0.9943
Starboy,"The Weeknd, Daft Punk",1.0986122886681098,10.293398993717526,4.382026634673881,21.66543080263129,5.641907070938114,4.927253685157205,7.802209316247118,0.6931471805599453,4.948759890378168,186,Major,68,49,59,2.833213344056216,0,2.6390573296152584,3.367295829986474,other,0.119,0.17,0.711,-0.9565
