track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre,genre_category,pos,neg,neu,compound,sentiment_label,popularity_score,scaled_bpm,scaled_danceability,scaled_instrumentalness,scaled_energy
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",1.0986122886681098,6.317164686747284,4.997212273764115,18.76697391125858,3.784189633918261,5.575949103146316,3.828641396489095,2.3978952727983707,6.717804695023691,125,Major,80,89,83,3.4657359027997265,0,2.19722457733622,1.6094379124341005,['k-pop'],k-pop,0.124,0.065,0.811,0.9783,happy,4.705325291762793,4.829787234042554,8.027397260273972,1.0,8.568181818181818
vampire,Olivia Rodrigo,0.6931471805599453,7.242797922793756,4.736198448394496,18.75718137302765,4.553876891600541,5.337538079701318,4.5217885770490405,2.70805020110221,6.856461984594587,138,Major,51,32,53,2.8903717578961645,0,3.4657359027997265,1.9459101490553128,[],,0.254,0.212,0.534,0.6808,happy,4.6892571009541015,5.659574468085106,4.4520547945205475,1.0,5.5
Cruel Summer,Taylor Swift,0.6931471805599453,8.969414650866176,4.61512051684126,20.50117275619475,4.762173934797756,5.337538079701318,4.836281906951478,2.5649493574615367,6.3080984415095305,170,Major,55,58,72,2.4849066497880004,0,2.4849066497880004,2.772588722239781,[],,0.225,0.285,0.49,-0.9862,angry,7.550903964371229,7.702127659574468,4.945205479452055,1.0,7.443181818181818
Sprinter,"Dave, Central Cee",1.0986122886681098,7.690286020676768,4.5217885770490405,19.028848490817857,4.219507705176107,5.365976015021851,4.48863636973214,2.8903717578961645,6.853299093186078,141,Major,92,66,58,2.995732273553991,0,2.19722457733622,3.218875824868201,"['grime', 'uk drill', 'drill']",grime,0.162,0.116,0.722,0.9605,happy,5.135024988927338,5.851063829787234,9.506849315068493,1.0,6.011363636363636
fukumean,Gunna,0.6931471805599453,7.00033446027523,4.430816798843313,18.371672373977777,4.110873864173311,5.351858133476067,3.8918202981106265,2.4849066497880004,6.860663671448287,130,Minor,85,22,62,2.5649493574615367,0,3.367295829986474,2.302585092994046,['melodic rap'],melodic rap,0.193,0.197,0.61,-0.8807,angry,4.056690547817389,5.148936170212766,8.643835616438356,1.0,6.420454545454546
Super Shy,NewJeans,0.6931471805599453,6.0473721790462776,4.02535169073515,17.880343075685005,3.6375861597263857,5.313205979041787,3.091042453358316,1.791759469228055,5.1298987149230735,150,Minor,78,52,82,2.9444389791664403,0,2.772588722239781,2.079441541679836,['k-pop'],k-pop,0.361,0.011,0.628,0.999,happy,3.2504876279319017,6.425531914893617,7.780821917808219,1.0,8.465909090909092
Flowers,Miley Cyrus,0.6931471805599453,9.410174353854767,4.7535901911063645,20.998512699415997,5.707110264748875,5.375278407684165,6.61472560020376,4.07753744390572,6.92951677076365,118,Major,71,65,68,1.9459101490553128,0,1.3862943611198906,2.079441541679836,[],,0.622,0.026,0.352,0.9995,happy,8.366969515100365,4.382978723404255,6.917808219178082,1.0,7.034090909090908
Daylight,David Kushner,0.6931471805599453,8.16876982367527,4.59511985013459,19.7754089526758,4.394449154672439,5.056245805348308,5.209486152841421,3.218875824868201,7.156176637480615,130,Minor,51,32,43,4.430816798843313,0,2.302585092994046,1.3862943611198906,[],,0.218,0.262,0.52,-0.836,angry,6.360026685981206,5.148936170212766,4.4520547945205475,1.0,4.477272727272727
As It Was,Harry Styles,0.6931471805599453,10.06798452441753,4.875197323201151,21.644818100255623,6.001414877961151,5.293304824724492,6.761572768804055,3.8501476017100575,0.0,174,Minor,52,66,73,3.555348061489413,0,3.4657359027997265,1.9459101490553128,[],,0.186,0.0,0.814,0.9468,happy,9.427466625908082,7.957446808510638,4.575342465753424,1.0,7.545454545454546
Kill Bill,SZA,0.6931471805599453,9.000853147109458,4.356708826689592,20.87434923604548,5.214935757608986,5.093750200806762,5.087596335232384,2.5649493574615367,5.236441962829949,89,Major,64,43,73,1.791759469228055,289,2.833213344056216,1.6094379124341005,['r&b'],r&b,0.25,0.259,0.492,-0.8519,angry,8.16323457183476,2.5319148936170213,6.054794520547945,1.3211111111111111,7.545454545454546
Cupid - Twin Ver.,Fifty Fifty,0.6931471805599453,7.987184748233473,4.356708826689592,20.023689406983863,4.5217885770490405,5.3612921657094255,4.3694478524670215,1.9459101490553128,0.0,120,Minor,78,76,59,3.784189633918261,0,3.555348061489413,1.3862943611198906,['k-pop'],k-pop,0.261,0.25,0.489,0.802,happy,6.767420317725067,4.51063829787234,7.780821917808219,1.0,6.113636363636364
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.6931471805599453,6.773080375655535,4.653960350157523,17.23477324165318,4.394449154672439,5.429345628954441,4.564348191467836,3.218875824868201,7.068172000388042,78,Major,44,14,9,4.574710978503383,0,2.3978952727983707,1.3862943611198906,[],,0.112,0.068,0.82,0.9712,happy,2.191197479766716,1.8297872340425532,3.5890410958904106,1.0,1.0
Like Crazy,Jimin,0.6931471805599453,6.391917113392602,4.23410650459726,19.710931438582328,2.19722457733622,4.653960350157523,3.1780538303479458,1.0986122886681098,3.4011973816621555,120,Major,63,36,73,0.0,0,3.610917912644224,1.6094379124341005,['k-pop'],k-pop,0.195,0.075,0.73,0.9694,happy,6.254228069229188,4.51063829787234,5.931506849315069,1.0,7.545454545454546
I Can See You (Taylor's Version)(From The Vault),Taylor Swift,0.6931471805599453,6.248042874508429,3.6635616461296463,17.769351842256572,4.30406509320417,4.787491742782046,3.7612001156935615,0.6931471805599453,5.017279836814924,123,Major,69,82,76,1.9459101490553128,0,1.9459101490553128,1.3862943611198906,[],,0.094,0.019,0.887,0.9153,happy,3.0683664786688385,4.702127659574468,6.671232876712328,1.0,7.8522727272727275
I Wanna Be Yours,Arctic Monkeys,0.6931471805599453,9.46187699779161,4.709530201312334,20.983339963356148,3.218875824868201,4.59511985013459,6.368187186350492,1.0986122886681098,4.30406509320417,135,Minor,48,44,42,2.5649493574615367,4,2.4849066497880004,1.3862943611198906,"['indie', 'garage rock']",indie,0.023,0.052,0.925,-0.4973,angry,8.342073169296022,5.468085106382978,4.082191780821917,1.0044444444444445,4.375
